Sr_No,Round,Institute,Program,Stream,Quota,Category,Seat_Gender,Opening_Rank,Closing_Rank,Remark
1500,Round 1,"SHRI RAMMURTI SMARAK COLLEGE OF ENGG AND TECHNOLOGY,BAREILLY",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,125923.0,374792.0,Fresh Only
1501,Round 1,"HINDUSTAN COLLEGE OF SCIENCE & TECHNOLOGY,MATHURA",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,113665.0,390061.0,Fresh Only
1502,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,385057.0,505472.0,Fresh Only
1503,Round 1,"RAJKIYA ENGINEERING COLLEGE,BANDA",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,252592.0,261399.0,Fresh Only
1504,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,ST,Both Male and Female Seats,317740.0,317740.0,Fresh Only
1505,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Artificial Intelligence And Machine Learning,B.Tech,Home State,OPEN(PH),Both Male and Female Seats,1059624.0,1059624.0,Fresh Only
1506,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Artificial Intelligence And Machine Learning,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,174320.0,196982.0,Fresh Only
1507,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,545307.0,870863.0,Fresh Only
1508,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,980545.0,1191734.0,Fresh Only
1509,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,266517.0,324739.0,Fresh Only
1510,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Mining Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,238010.0,490904.0,Fresh Only
1511,Round 1,"Baba Shaheb (Dr.) B R Ambedkar College of Agricultural Engineering and Technology, Etawah (CSAUAT)",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,474889.0,1369750.0,Fresh Only
1512,Round 1,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Computer Science And Engineering(Data Science),B.Tech,Home State,OPEN,Both Male and Female Seats,281817.0,995362.0,Fresh Only
1513,Round 1,"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,698293.0,750055.0,Fresh Only
1514,Round 1,"KCMT CAMPUS 2 PREM PRAKASH GUPTA INSTITUTE OF ENGINEERING,BAREILLY",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,447479.0,447479.0,Fresh Only
1515,Round 1,"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,600695.0,622427.0,Fresh Only
1516,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,OPEN(PH),Both Male and Female Seats,856824.0,856824.0,Fresh Only
1517,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,299247.0,329936.0,Fresh Only
1518,Round 1,"MAA PATESHWARI DEVI RAJKIYA  ENGINEERING COLLEGE, GONDA",Electrical Engineering,B.Tech,Home State,EWS(GL),Female Seats,1050197.0,1050197.0,Fresh Only
1519,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Civil Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,242978.0,265577.0,Fresh Only
1520,Round 1,"BANSAL INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,772326.0,772326.0,Fresh Only
1521,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,427988.0,677999.0,Fresh Only
1522,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Civil Engineering,B.Tech,Home State,EWS(GL),Female Seats,218224.0,218989.0,Fresh Only
1523,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Information Technology,B.Tech,Home State,BC,Both Male and Female Seats,816340.0,1460325.0,Fresh Only
1524,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Mechanical Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,1382754.0,1382754.0,Fresh Only
1525,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,Home State,BC,Both Male and Female Seats,125475.0,143563.0,Fresh Only
1526,Round 1,"Baba Shaheb (Dr.) B R Ambedkar College of Agricultural Engineering and Technology, Etawah (CSAUAT)",Electronics and Communication Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,733043.0,1185959.0,Fresh Only
1527,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Mechanical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,572494.0,572494.0,Fresh Only
1528,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science And Engineering(Data Science),B.Tech,Home State,SC(Girl),Female Seats,1401430.0,1401430.0,Fresh Only
1529,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Instrumentation and Control Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,290444.0,477947.0,Fresh Only
1530,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Artificial Intelligence And Machine Learning,B.Tech,Home State,BC,Both Male and Female Seats,179790.0,213358.0,Fresh Only
1531,Round 1,"IIMT COLLEGE OF ENGINEERING,GAUTAM BUDDH NAGAR",Artificial Inelligence (AI) And Data Science,B.Tech,Home State,OPEN,Both Male and Female Seats,415527.0,1263355.0,Fresh Only
